PUZZLE,CATEGORY,,
MARIAH CAREY,Proper Name,,
FORMER EMPLOYER,Person,,
FOUL TROUBLE,Phrase,,
I BELIEVE I CAN FLY,Song Title,,
GOOGLE SEARCH,Thing,,
BUSTLING OUTDOOR MARKET,Place,,
MAKE MINE A DOUBLE DRIBBLE,Before & After,,
EQUIPMENT MANAGER,Occupation,,
MARYLAND CRAB CAKES,On the Menu,,
GYM SOCKS,Things,,
CANARY ISLANDS,On the Map,,
COURTSIDE AT MADISON SQUARE GARDEN,Place,,
CEILING FAN APPRECIATION DAY,Before & After,,
SPINACH SALAD WITH WARM BACON DRESSING,On the Menu,,
GIANT CLAM,Living Thing,,
UNLEADED GASOLINE,Thing,,
HOT HAND,Phrase,,
HARDWOOD FLOORS,Around the House,,
FRIENDS OF FRIENDS,People,,
PLUNGING WATERFALLS AND LUSH VALLEYS,Things,,
LOCKER ROOM FOR IMPROVEMENT,Before & After,,
STEER CLEAR,Rhyme Time,,
CATTLE RANCH,Place,,
JUMPING JACKS,Things,,
RECIPE FOR SUCCESS,Phrase,,
TURTLE SOUP,On the Menu,,
A WORKING PINEAPPLE PLANTATION,Place,,
THE FUNKY CHICKEN SALAD SANDWICH,Before & After,,
BUBBLY PERSONALITY,Thing,,
THE FLORIDA PANHANDLE,On the Map,,
PIZZA OVEN,Thing,,
POTATO MASHER,In the Kitchen,,
PANCAKE HOUSE OF THE RISING SUN,Before & After,,
BENDING OVER BACKWARDS,Phrase,,
SMART COOKIE,Person,,
HALIBUT,Living Thing,,
HEAPING TABLESPOONS,Things,,
FURNITURE DESIGNER,Occupation,,
BAKED LOBSTER RAVIOLI,On the Menu,,
SNAPDRAGONS,Living Things,,
BRINGING HOME THE BACON,Phrase,,
CHOW MEIN,On the Menu,,
YUMMY IN MY TUMMY,Rhyme Time,,
CASABLANCA MOROCCO,On the Map,,
SILVERWARE DRAWER,In the Kitchen,,
THE PERFECT MARGARITA,On the Menu,,
WATER AEROBICS,Fun & Games,,
A DOG CHASING ITS TAIL,Living Thing,,
GREEN EGGS AND HAM,Title,,
SPICE RACK,In the Kitchen,,
FRUITY UMBRELLA,Things,,
WARM FLOURLESS CHOCOLATE CAKE,On the Menu,,
RELAY RACES,Fun & Games,,
HUNGER PAINS,Things,,
THE MORE THE MERRIER,Phrase,,
PALOMINO HORSE,Living Thing,,
YEARLONG CENTENNIAL CELEBRATION,Event,,
FINAL BOARDING CALL OF THE WILD,Before & After,,
BANANA WALNUT BREAD PUDDING,On the Menu,,
COAT CLOSET,Around the House,,
SHAKE RATTLE AND ROLL,Song Title,,
BIG BASH,Event,,
BORN ON THE BAYOU,Song Title,,
LOOSE AS A GOOSE,Rhyme Time,,
HUMIDITY,Thing,,
KICK IT UP A NOTCH,Phrase,,
CHINESE LANTERNS,Thing,,
SHIMMERING TURQUOISE SEA,Thing,,
THE SCANDINAVIAN PENINSULA,On the Map,,
PEACH DAIQUIRI,On the Menu,,
THE LOUISIANA SUPERDOME,Landmark,,
DISCO FEVER,The 70s,,
OYSTER ROCKEFELLER,On the Menu,,
MORE FUN THAN A BARREL OF MONKEYS,Phrase,,
BACKYARD BARBEQUE,Event,,
RICHARD SIMMONS,Proper Name,,
A LAUGH RIOT,Phrase,,
RAISE THE ROOF,Phrase,,
SCAVENGER HUNT,Fun & Games,,
DRAMATIC LAVA FIELDS,Places,,
SINGLE AND READY TO MINGLE,Rhyme Time,,
SAVANNAH GEORGIA,On the Map,,
WHITE LINEN TABLECLOTH,Around the House,,
TAKING A WEEK OFF,Event,,
PLEASE RAISE YOUR HAND,Phrase,,
HERBIE FULLY LOADED,Movie Title,,
COLLEGE ADMISSIONS OFFICER,Occupation,,
POPULAR LOCAL SURF SHOP,Place,,
PICKUP BASKETBALL,Fun & Games,,
BUZZ LIGHTYEAR,Fictional Character,,
THE GREAT APES,Living Things,,
SINGER GWEN STEFANI,Proper Name,,
BREAKING OPEN THE PINATA,Fun & Games,,
BENEFIT CONCERT,Show Biz,,
MANICURE AND PEDICURE,Things,,
KEY CHAIN,Thing,,
THAT MAKES TWO OF US,Phrase,,
CUTTING BOARD,Around the House,,
STUDY HALL OF FAME,Before & After,,
SMALLVILLE,TV Title,,
ASSISTANT PRINCIPAL,Occupation,,
GOLDFISH BOWL,Thing,,
SEEING IS BELIEVING,Phrase,,
GILMORE GIRLS,TV Title,,
CHARLESTON SOUTH CAROLINA,On the Map,,
FOOTPRINTS IN THE SNOW,Things,,
HUMPTY DUMPTY,Rhyme Time,,
CONVENIENCE STORE,Place,,
GROW UP,Phrase,,
VEGGIE BURGER,On the Menu,,
MAKING A BIG SPLASH,Phrase,,
SIGNED PERMISSION SLIP,Thing,,
SKATING ON THIN ICE CREAM SANDWICHES,Before & After,,
LAKE MICHIGAN,On the Map,,
CELL PHONE PACKAGE,Living Things,,
BIOLOGY,Thing,,
AS SEEN ON TV,Phrase,,
CONCENTRATION,Fun & Games,,
WILD BLUEBERRY PANCAKES,On the Menu,,
HANDCRAFTED SILVER JEWELRY,Thing,,
RESTORING A CLASSIC CAR,Event,,
FOLK TALE,Thing,,
SENTIMENTAL VALUE,Thing,,
FOSTER PARENTS,People,,
IF THE SHOE FITS,Next Line Please,,
PRIME AGED NEW YORK STRIP STEAK,On the Menu,,
STAR QUALITY,Phrase,,
NAME YOUR PRICE,Phrase,,
VATICAN CITY,On the Map,,
SWAYING COCONUT PALMS,Living Things,,
PHYSICAL EDUCATION TEACHER,Occupation,,
LINGERIE DEPARTMENT OF MOTOR VEHICLES,Before & After,,
NEWS ANCHOR BRIAN WILLIAMS,Proper Name,,
MAKEUP BRUSH,Around the House,,
BUTTERMILK BISCUITS,On the Menu,,
THIS IS YOUR CAPTAIN SPEAKING,Phrase,,
GLASS CLEANER,Around the House,,
HOT SPRINGS ARKANSAS,On the Map,,
PLYWOOD,Thing,,
THE RHINE RIVER,On the Map,,
GUIDE DOGS,Living Things,,
CLEARING CUSTOMS AND IMMIGRATION,Event,,
SMOKED ALMONDS,Things,,
JOY OF COOKING,Best Seller,,
CRYSTAL STEMWARE,Around the House,,
SNOWY OWL,Living Thing,,
CHEERLEADERS FORMING A PYRAMID,Fun & Games,,
ALL NIGHT LONG DIVISION,Before & After,,
A BREATHTAKING SUNSET VIEW,Thing,,
FRIED CALAMARI,On the Menu,,
MADISON WINSCONSIN,On the Map,,
HORIZON,Thing,,
COPENHAGEN DENMARK,On the Map,,
MILITARY ACADEMY,Place,,
ENGLINSH LAVENDER,Living Thing,,
THANK YOU FOR NOT SMOKING,Phrase,,
WATCHDOG,Living Thing,,
PRAYING MANTIS,Living Thing,,
COLLEGE INTERNS,People,,
PUT YOUR THINKING CAPS ON,Phrase,,
THE SHALLOW END OF THE POOL,Place,,
SHARPENED PENCILS,Around the House,,
THE WEATHER CHANNEL,TV Title,,
VANITY FAIR,Title,,
MAYBE BABY,Rhyme Time,,
SUGAR SUBSTITUTE TEACHER,Before & After,,
CHOREOGRAPHED FOUNTAIN SHOW,Thing,,
SPACE HEATER,Around the House,,
PUBLIC HEALTH INSPECTOR,Occupation,,
BURBANK,On the Map,,
BELGIAN CHOCOLATE,Thing,,
RED ROVER RED ROVER,Fun & Games,,
TAKE IT EASY BY THE EAGLES,Rock On!,,
BAKED POTATO WITH SOUR CREAM AND CHIVES,On the Menu,,
CASUAL ACQUAINTANCE,Person,,
PRACTICE MAKES PERFECT,Phrase,,
JUGGLER,Show Biz,,
POINT AND CLICK,Phrase,,
SNOW LEOPARD,Living Thing,,
TIED UP WITH A BOW AND ARROWS,Before & After,,
BROWSING THROUGH SOUVENIR SHOPS,Event,,
THE KING OF QUEENS,TV Title,,
BICYCLE PLAYING CARDS,Fun & Games,,
ZOOM IN,Phrase,,
A CHILL IN THE AIR,Phrase,,
QUILTED BEDSPREAD,Around the House,,
KEY LIME PIE WITH GRAHM CRACKER CRUST,On the Menu,,
BUYING POWER SURGE,Before & After,,
THIS COULD BE THE START OF SOMETHING BIG,Song Title,,
TIMBER WOLF,Living Thing,,
OVERWHELMING GENEROSITY,Thing,,
HANG BACK,Phrase,,
BETTER THAN EVER,Phrase,,
MIDNIGHT SNACK,Thing,,
HE SAID BA HUMBUG TO HOLIDAY CHEER,Who Is It?,,
ICE FISHING,Fun & Games,,
ROMANTIC COMEDIES,Show Biz,,
OAK BUREAU,Around the House,,
MOUNT KILIMANJARO,On the Map,,
RAPUNZEL RAPUNZEL LET DOWN YOUR HIR,Quotation,,
BUDDY MOVIE,Show Biz,,
SIGHT FOR SORE EYES,Phrase,,
VOLUNTEER FIREFIGHTER,Person,,
SKI GOGGLES,Things,,
FAMILY ENTERTAINMENT,Show Biz,,
LETTER OPENER,Around the House,,
GRAND FORKS NORTH DAKOTA,On the Map,,
DIPPING A TOE INTO THE WATER,Phrase,,
SHEEP RANCHER,Occupation,,
USERNAME AND PASSWORD,Things,,
SILLY GOOSE,Person,,
THINK FAST,Phrase,,
A DIAMOND IN THE ROUGH,Phrase,,
SNOWPLOW DRIVER,Occupation,,
NOT A CREATURE WAS STIRRING,Next Line Please,,
OFFICIALLY LICENSED MERCHANDISE,Thing,,
QUAINT COBBLESTONE STREETS,Places,,
FAMILY GUY,TV Title,,
ONE WAY OR ANOTHER,Phrase,,
HUNKER DOWN,Phrase,,
SHOP TILL YOU DROP,Rhyme Time,,
SQUAW VALLEY,On the Map,,
GINGERBREAD MAN OF THE YEAR,Before & After,,
BIRDS FLYING SOUTH FOR THE WINTER,Living Things,,
THE SMELL OF COOKIES BAKING IN THE OVEN,Around the House,,
MAD MAGAZINE,Title,,
NEW ENGLAND CLAM CHOWDER,On the Menu,,
FULL SWING,Phrase,,
LONG TIME NO SEE,Phrase,,
GIFTED CHILDREN,People,,
PEPPERMINT STCIK LIKE GLUE,Before & After,,
I SAW MOMMY KISSING SANTA CLAUS,Song Title,,
CHOPPING FIREWOOD,Event,,
STEAMBOAT SPRINGS,On the Map,,
ON LOCATION,Show Biz,,
A SHINY NEW BIKE,Thing,,
WILDFLOWERS,Living Things,,
MASTER CHOCOLATE MAKER,Occupation,,
BOSTON LEGAL,TV Title,,
HELPFUL SALES STAFF,People,,
BOUTIQUE,Place,,
POLAR OPPOSITES,Things,,
MORGAN FREEMAN,Proper Name,,
SEEING THE NORTHERN LIGHTS,Event,,
HOT OATMEAL WITH RAISINS AND BROWN SUGAR,On the Menu,,
I KNOW THAT MY HEART WILL GO ON,Song Lyrics,,
MUFFIN PAN,In the Kitchen,,
PORTABLE DVD PLAYER,Thing,,
SAN FRANCISCO CHRONICLE,Title,,
HODGEPODGE,Rhyme Time,,
MODEL CITIZEN,Person,,
NO PRESERVATIVES ADDED,Phrase,,
A CUDDLY PET CHIHUAHUA,Living Thing,,
QUICHE LORRAINE,On the Menu,,
WIRELESS MOUSE AND MOUSEPAD,Things,,
BUNGALOW,Place,,
METEOROLOGIST,Occupation,,
STATE CAPITAL,Place,,
PATRICIA ARQUETTE STARS IN MEDIUM,Show Biz,,
WHAT TOOK YOU SO LONG UNDERWEAR,Before & After,,
GOURMET MAGAZINE,Title,,
WAVE THE FLAG,Phrase,,
SUGAR COOKIES,Things,,
INNKEEPER,Occupation,,
TRADITIONAL SPANISH OMELETTE,On the Menu,,
A FIGMENT OF YOUR IMAGINATION,Phrase,,
IS THERE A DOCTOR IN THE HOUSE DRESSING,Before & After,,
STORAGE UNIT,Place,,
FASHION POLICE,Show Biz,,
POPLAR TREES,Living Things,,
JOHANNESBURG SOUTH AFRICA,On the Map,,
HOT ARTICHOKE SPINACH DIP,On the Menu,,
HAVING THE ENTIRE BEACH TO YOURSELF,Event,,
THE BIGGEST LOSER,TV Title,,
GIVE ME A HINT,Phrase,,
THE BROOKLYN BRIDGE,Landmark,,
PEAKS AND VALLEYS,Places,,
CONSTRUCTION FOREMAN,Occupation,,
UNSPOILED OCEAN VIEWS,Things,,
MAKE IN SNAPPY,Phrase,,
WOOL CREW NECK SWEATER,Around the House,,
PROVIDENCE RHODE ISLAND,On the Map,,
HOMEBODY,Person,,
EAT DRINK AND BE MERRY,Quotation,,
APPLE ORCHARD,Place,,
INFLATABLE POOL TOYS,Things,,
CHICAGO WHITE SOX CAPTURE WORLD SERIES TITLE,Headline,,
TAKE IT EASY,Phrase,,
COTTON HAND TOWELS,Around the House,,
A GREAT BUY,Phrase,,
MASSAGE TABLE,Thing,,
THE CZECH REPUBLIC,On the Map,,
EARNING A BLACK BELT IN KARATE,Fun & Games,,
SIDE ORDER OF SPICY GUACAMOLE,On the Menu,,
SANDPIPER,Living Thing,,
COSMETIC SURGEON,Occupation,,
WEARING TWO HATS,Phrase,,
SINGING KARAOKE,Event,,
RHINOCEROS,Living Thing,,
THE LATEST DESIGNER FASIONS,Phrase,,
PAINT ROLLER DERBY,Before & After,,
ONE DOZEN GLAZED DOUGHNUTS,On the Menu,,
A WORKOUT PARTNER,Person,,
HISTORY IN THE MAKING,Phrase,,
FLASHLIGHT BATTERIES,Around the House,,
HEIFER,Living Thing,,
TRUTH OR DARE,Fun & Games,,
STOCKBROKER,Occupation,,
WAKE UP AND SMELL THE COFFEE,Phrase,,
A FRIEND IN NEED IS A FRIEND INDEED,Rhyme Time,,
EMERY BOARD,Around the House,,
PERCUSSION INSTRUMENTS,Things,,
BLIND DATES,Events,,
PAY STUB,Thing,,
FRENCH POODLE,Living Thing,,
SUNSHINE AND BLUE SKIES,Things,,
CHEESE TORTELLINI WITH PESTO SAUCE,On the Menu,,
THE BALTIC SEA,On the Map,,
FORMICA COUNTERTOPS,Around the House,,
SAFETY DEMONSTRATION,Event,,
AHEAD OF THE CURVE,Phrase,,
BEHIND THE SCENES,Phrase,,
CHICKEN LITTLE,Movie Title,,
LEARNING HOW TO SAIL,Event,,
SMOKED NORWEGIAN SALMON,On the Menu,,
RHUBARB PIE,On the Menu,,
COSTUME FITTING,Show Biz,,
THE TREASURE OF THE SIERRA MADRE,Movie Title,,
PLENTY OF GOOD SEATS STILL AVAILABLE,Phrase,,
LAKE ONTARIO,On the Map,,
A HECTIC SCHEDULE,Thing,,
PLUNGING NECKLINE,Thing,,
MAKEUP ARTIST,Occupation,,
STUNT DOUBLE CHEESEBURGER,Before & After,,
HOSTING SATURDAY NIGHT LIVE,Show Biz,,
WISHING WELL,Place,,
BIRDS OF PARADISE,Living Things,,
FRIENDS AND NEIGHBORS,People,,
POLITICAL POLLSTER,Occupation,,
WORTH THE RISK,Phrase,,
STAGE MOTHERS,People,,
HOSPITALITY SUITE,Place,,
GLOBAL POSITIONING SYSTEM,Thing,,
BIG APE WHO CLIMBED THE EMPIRE STATE BUILDING,Who Is It?,,
LINEN CLOSET,Around the House,,
ACTRESS JESSICA ALBA,Proper Name,,
FRY COOK,Occupation,,
FASHION PHOTOGRAPHER,Occupation,,
FALSE ALARM CLOCK,Before & After,,
SHADY SPOT BENEATH A PALM TREE,Place,,
ANIMAL ACTORS,Living Things,,
HOT FUDGE BROWNIE SUNDAE,On the Menu,,
CURFEW,Thing,,
NEWS YOU CAN USE,Rhyme Time,,
PRIVATE TUTOR,Occupation,,
DECORATIVE WALL TILES,Around the House,,
THE JORDAN RIVER,On the Map,,
APPLYING FOR A PATENT,Event,,
A GUST OF WIND,Thing,,
HEAVEN ON EARTH,Phrase,,
BAGGAGE HANDLER,Occupation,,
GET OUT OF JAIL FREE CARD,Fun & Games,,
GRILLED TENDERLOIN MEDALLIONS,On the Menu,,
BALMY TROPICAL BREEZES,Things,,
THE SIMPSONS,TV Title,,
HOUSEBREAKING YOUR NEW PUPPY,Event,,
PEP SQUAD,People,,
NICOLE KIDMAN,Proper Name,,
GIANT SEQUOIA TREES,Living Things,,
SATISFACTION GUARANTEED,Phrase,,
TWILIGHT WINE TASTING PARTY,Event,,
OFFICIAL SCRABBLE PLAYERS DICTIONARY,Title,,
SKIN CARE PRODUCTS,Around the House,,
BRAISED BEEF SHORT RIBS,On the Menu,,
BEAR HUG,Thing,,
WILD CHILD,Rhyme Time,,
STRANGER THINGS HAVE HAPPENED,Phrase,,
OIL WELLS PANHANDLE THE SOONER STATE,Where Are We?,,
ANTIQUES ROADSHOW,TV Title,,
BRANSON MISSOURI,On the Map,,
PHOTO ALBUM,Around the House,,
MY NAME IS EARL,TV Title,,
SPLIT PEA SOUP,On the Menu,,
WINDOW MIDDLE AND AISLE SEATS,Places,,
RUSTIC COTTAGE CHEESE,Before & After,,
HAPPY TRAILS TO YOU UNTIL WE MEET AGAIN,Song Lyrics,,
SACRAMENTO,On the Map,,
ROOTING FOR THE UNDERDOG,Phrase,,
HOUSEFLY,Living Thing,,
THE LONGEST YARD,Movie Title,,
SKINNED KNEES,Things,,
METEOR SHOWER CAP,Before & After,,
THE TOWN SO NICE THEY NAMED IT TWICE,Rhyme Time,,
ARMY SERGEANT,Person,,
STUART LITTLE,Fictional Character,,
FLAG ON THE PLAY,Phrase,,
FABRIC SOFTENER,Around the House,,
LIGHT BEER BELLY,Before & After,,
HOWARD COSELL ON MONDAY NIGHT FOOTBALL,Classic TV,,
A PLATTER OF SIZZLING STEAK FAJITAS,On the Menu,,
BASSET HOUND,Living Thing,,
TV COMMERCIAL DIRECTOR,Occupation,,
BRAINS AND BRAWN,Things,,
HONOLULU HAWAII,On the Map,,
TROPHY ROOM,Place,,
NOTRE DAME FIGHTING IRISH,Proper Name,,
ROUGH AND TOUGH,Rhyme Time,,
TELL ME WHERE IT HURTS,Phrase,,
OLD RIVALRY,Thing,,
ARMCHAIR QUARTERBACK,Person,,
GREAT SALT LAKE,On the Map,,
HOMEMADE MASHED POTATOES,On the Menu,,
CRUISING TO AN EASY VICTORY,Phrase,,
SIAMESE KITTENS,Living Things,,
THE INCREDIBLE HULK,Fictional Character,,
SQUARING OFF,Phrase,,
AUTOGRAPH SHOW,Event,,
BACKGAMMON,Fun & Games,,
A HUGE BILLBOARD IN TIMES SQUARE,Thing,,
RECHARGEABLE BEARD AND MOUSTACHE TRIMMER,Around the House,,
GOLF FORSOME,People,,
SCHOOL OF HARD KNOCKS,Phrase,,
BANDAGES,Things,,
A NIGHT ON THE TOWN,Event,,
GETTING YOUR FEET WET,Phrase,,
ANTONIO BANDERAS AS ZORRO,Star & Role,,
FIGURE SKATING,Fun & Games,,
CONTACT LENS CASE,Thing,,
PARENTS OF TWINS,People,,
HAND MIXER,In the Kitchen,,
GLITZ AND GLAMOUR,Show Biz,,
MELON BALLER,In the Kitchen,,
AMATEUR BOXER SHORTS,Before & After,,
GRILLED ASPARAGUS,On the Menu,,
LIVING THE ISLAND LIFESTYLE,Phrase,,
FLIGHTLESS BIRDS,Living Things,,
TENANTS AND LANDLORDS,People,,
JACKSON MISSISSIPPI,On the Map,,
BUSINESS LUNCH,Event,,
MONEY WELL SPENT,Phrase,,
BLUSHING BRIDE,Person,,
SEE NO EVIL HEAR NO EVIL,Next Line Please,,
IRONMAN TRIATHLON COMPETITION,Fun & Games,,
NEW BRUNSWICK,On the Map,,
SCOTTISH TERRIER,Living Thing,,
PERSONALIZED STATIONERY,Around the House,,
JUST WING IT,Phrase,,
RENTING A TUXEDO,Event,,
EAGLE SCOUT,Person,,
ALASKAN KING CRAB LEGS,On the Menu,,
OPTOMETRIST,Occupation,,
NUTRITIOUS AND DELICIOUS,Rhyme Time,,
KNOWLEDGE,Thing,,
GARDEN SHED,Place,,
SOAKING IN NATURAL HOT SPRINGS,Event,,
GUATEMALA CITY GUATEMALA,On the Map,,
LITTLE BLACK BOOK REPORT,Before & After,,
DUST RUFFLE,Around the House,,
A BRIGHT FUTURE,Phrase,,
MY BETTER HALF,Person,,
CHICK FLICK,Rhyme Time,,
STUFFED GRAPE LEAVES,On the Menu,,
STERLING SILVER PICTURE FRAME,Around the House,,
THE EIFFEL TOWER,Landmark,,
RISKY MOVE,Thing,,
WEDDING CRASHERS,Movie Title,,
CHEWABLE ASPIRIN,Around the House,,
NEANDERTHAL MAN OF MY DREAMS,Before & After,,
WATCHING THE SUNSET ON KEY WEST,Event,,
GRAMMY AWARD FOR BEST REGGAE ALBUM,Show Biz,,
HONEYBEES,Living Things,,
BUNDLE OF JOY,Phrase,,
BEAUTY AND THE BEAST,Title,,
LAKE OKEECHOBEE,On the Map,,
I TAUGHT HIM EVERYTHING HE KNOWS,Phrase,,
SAMPLING THE LOCAL TEQUILA,Event,,
TO HAVE AND TO HOLD ON FOR DEAR LIFE,Before & After,,
STAND BY ME,Song Title,,
WHITE AND YELLOW DAISIES,Living Things,,
LAUGH IT OFF,Phrase,,
A PAIR OF ACES,Fun & Games,,
CANDY SHOP,Place,,
SIPPING A HOT CAPPUCCINO,Event,,
LOVE IS IN THE AIR CONDITIONING,Before & After,,
BLACKENED SHRIMP CAESAR SALAD,On the Menu,,
DINNER THEATER,Show Biz,,
MY SENTIMENTS EXACTLY,Phrase,,
I APOLOGIZE,Phrase,,
GRAPHIC ARTIST,Occupation,,
MATING CALL FORWARDING,Before & After,,
LEAVE YOUR WORRIES,Phrase,,
SCOTTISH HIGHLANDS,On the Map,,
MARY MARY QUITE CONTRARY,Rhyme Time,,
MIXED DOUBLES,Fun & Games,,
SOME LIKE IT HOT,Movie Title,,
TENNIS BRACELET,Thing,,
CLASSIC YACHT REGATTA,Fun & Games,,
BOSTON TERRIER,Living Thing,,
PATIO COVER,Thing,,
LIFEGUARD STATION,Place,,
HUMMINGBIRD,Living Thing,,
DIGITAL MEAT THERMOMETER,In the Kitchen,,
FOOTPRINTS IN THE SAND,Things,,
MAKING BROWNIES FROM SCRATCH GOLFERS,Before & After,,
AUGUSTA GEORGIA,On the Map,,
A HEALTHY GLOW,Phrase,,
WORKING UP A SWEAT,Phrase,,
CONTAGIOUS LAUGHTER,Thing,,
EVERGLADES NATIONAL PARK,Landmark,,
ICE CREAM SOCIAL SECURITY NUMBER,Before & After,,
WINDOW SHOPPING ON FIFTH AVENUE,Event,,
CATCH OF THE DAY,On the Menu,,
NEIGHBORHOOD DELICATESSEN,Place,,
FLAMINGO,Living Thing,,
TELEMARKETER,Occupation,,
ROASTED BONELESS SPARE RIB,On the Menu,,
MAGNIFICENT CORAL REEF,Place,,
DRINKING FOUNTAIN OF YOUTH,Before & After,,
RENEWABLE ENERGY,Thing,,
NO PAIN NO GAIN,Rhyme Time,,
JUICE BOX,In the Kitchen,,
RISE AND SHINE,Phrase,,
GREAT SMOKY MOUNTAINS,On the Map,,
MONKEY WRENCH,Around the House,,
CROSSCUT PAPER SHREDDER,Thing,,
A SKIMPY BIKINI,Thing,,
FULL STEAM AHEAD,Phrase,,
TELL IT LIKE IT IS,Phrase,,
THE STATEN ISLAND FERRY,Thing,,
ICEBERG WEDGE WITH BLUE CHEESE DRESSING,On the Menu,,
SINGING WAITER,Occupation,,
THE LOST CITY OF ATLANTIS,Fictional Place,,
BIRTHDAY BOY,Person,,
ALLIGATOR ALLEY,Place,,
ICED COFFEE TABLE,Before & After,,
THE OLD MAN AND THE SEA BY ERNEST HEMINGWAY,Title/Author,,
DANCING TO A STEEL DRUM BAND,Fun & Games,,
FLORIDA PANTHER,Living Thing,,
THE BREAKERS IN PALM BEACH,Landmark,,
MIAMI VICE,Classic TV,,
THE CAYMAN ISLANDS,On the Map,,
WATER POLO,Fun & Games,,
TOURING A MEDIEVAL CASTLE,Event,,
JUMBO STONE CRABS WITH MUSTARD SAUCE,On the Menu,,
BAY WINDOWS,Around the House,,
WHOLESALE FLORIST,Occupation,,
WALK THE PLANK,Phrase,,
KENNEBUNKPORT MAINE,On the Map,,
BANACLES,Living Things,,
CHOCOLATE COVERED MACADAMIAS,Thing,,
NO SMOKING SIGN OF THE ZODIAC,Before & After,,
MERCHANT MARINE,Occupation,,
A FAIR SHAKE,Phrase,,
GILLIGAN AND THE SKIPPER,Classic TV,,
LOBSTER BISQUE,On the Menu,,
EXCHANGING DOLLARS FOR PESOS,Event,,
CHARMED LIFE JACKET,Before & After,,
GUITAR SOLO,Show Biz,,
SAIL OFF INTO THE SUNSET,Phrase,,
HOURLY WAGES,Things,,
LAKE TAHOE,On the Map,,
CASCADING WATERFALL,Thing,,
PARASAILING,Fun & Games,,
PHILLY CHEESE STEAK,On the Menu,,
GROUP HUG,Thing,,
SNAKE IN THE GRASS,Living Thing,,
ROYAL FLUSH,Fun & Games,,
MORAL SUPPORT HOSE,Before & After,,
LEAFY GREEN VEGETABLES,Things,,
PINCH ME I MUST BE DREAMING,Phrase,,
SECRET HIDEOUT,Place,,
HOPLESS ROMANTIC,Person,,
A GOOD KISSER,Person,,
BELUGA WHALES,Living Things,,
LEADING MAN OVERBOARD,Before & After,,
ELEGANT TURQUOISE JEWELRY,Thing,,
TWO HEADS ARE BETTER THAN ONE,Phrase,,
DUELING PIANOS,Show Biz,,
BROWN LEATHER RECLINER,Around the House,,
MOVIE TRIVIA,Thing,,
MIDTOWN MANHATTAN,On the Map,,
GROUND ROUND,Rhyme Time,,
A FIELD OF RED TULIPS,Place,,
EAVESDROPPING ON A PRIVATE CONVERSATION,Event,,
DOGGIE DOOR,Around the House,,
GETTING AWAY WITH MURDER,Phrase,,
EMPLOYEE DISCOUNT,Thing,,
DUBUQUE IOWA,On the Map,,
CHIEF OF SURGERY,Occupation,,
UNBREAKABLE COMB,Thing,,
EVIL TWIN BEDS,Before & After,,
NOSY NEIGHBORS,People,,
PINOCCHIO,Fictional Character,,
I MISJUDGED YOU,Phrase,,
SPUR OF THE MOMENT,Phrase,,
GARBAGE DISPOSAL,In the Kitchen,,
WINNING LOTTERY TICKET,Thing,,
CASINOS JERSEY SHORE MONOPOLY BOARD STREET,Where Are We?,,
WATERCOLOR ARTIST,Person,,
TOWERING SKYSCRAPER,Place,,
LITTLE GREEN MEN,Fictional Characters,,
MAKING A FUSS,Phrase,,
PUREBRED DOGS,Living Things,,
HIKERS BOATERS AND FISHERMEN,People,,
OPERATING TABLE TENNIS,Before & After,,
FAST AND FURIOUS,Phrase,,
ADVERTISING EXECUTIVE,Occupation,,
SIBLING,Person,,
AROUND THE BEND,Phrase,,
MUMBO JUMBO,Rhyme Time,,
ON THE GOOD SHIP LOLLIPOP,Song Title,,
SWIMMING HOLE,Place,,
PACIFIC COAST HIGHWAY,On the Map,,
TAHITI,On the Map,,
TASTES LIKE CHICKEN,Phrase,,
PLAYING BRIDGE,Fun & Games,,
THE WHITE MOUNTAINS OF NEW HAMPSHIRE,On the Map,,
TAKING INVENTORY,Event,,
COPYRIGHT,Thing,,
MARCH OF THE PENGUINS,Movie Title,,
SHAMPOO BOTTLE,Around the House,,
KISSING THE BLARNEY STONE,Event,,
SOLAR HEATED ARGUMENT,Before & After,,
BACON LETTUCE AND TOMATO SANDWICH,On the Menu,,
TOO SOON TO TELL,Phrase,,
COUNTRY SINGER KENNY CHESNEY,Proper Name,,
FORCE OF HABIT,Phrase,,
LAKE HURON,On the Map,,
STOCK MARKET CRASH DIET,Before & After,,
VENUS THE GODDESS OF LOVE,Fictional Character,,
CONRFIELDS CEDAR RAPIDS THE HAWKEYE STATE,Where Are We?,,
OMELET PAN,In the Kitchen,,
EVERYBODY HATES CHRIS,TV Title,,
MAKING WAVES,Phrase,,
SLOWLY BUT SURELY,Phrase,,
RUBBER CEMENT,Thing,,
KID STAR DAKOTA FANNING,Proper Name,,
SIDE ORDER OF BLACK BEANS OR PINTO BEANS,On the Menu,,
RAIDING THE REFRIGERATOR,Event,,
ON MY BEHALF,Phrase,,
TESTING THE WATERS,Phrase,,
PONY RIDES,Fun & Games,,
GRANOLA BAR EXAM,Before & After,,
CLASSICALLY TRAINED FLAMENCO GUITARIST,Person,,
WHAT A WONDERFUL WORLD,Song Title,,
RHODODENDRONS,Living Things,,
SUNLESS TANNING LOTION,Thing,,
PAMELA ANDERSON,Proper Name,,
PAVING THE WAY,Phrase,,
BELLY FLOP CONTEST,Fun & Games,,
